gname         alias          ra            dec           plx   e_plx mux    e_mux muy    e_muy vlsr e_vlsr ref        
G031.41+00.30 G031.41+0.30   18:47:34.3105 -01:12:46.659 0.267 0.029 -1.580 0.700 -5.820 0.700   97     15 52         
G031.58+00.07 W43M           18:48:41.6740 -01:09:59.774 0.183 0.032 -1.970 0.400 -4.430 0.400   96      5 6          
G032.04+00.05 G032.04+0.05   18:49:36.5754 -00:45:45.539 0.198 0.015 -2.050 0.210 -4.770 0.210   98      5 4,52       
G033.09-00.07 G033.09-0.07   18:51:59.4085 +00:06:34.262 0.134 0.016 -2.460 0.150 -5.320 0.150  100      5 52         
G033.64-00.22 G033.64-0.22   18:53:32.5630 +00:31:39.100 0.131 0.020 -3.100 0.150 -6.270 0.140   60      3 6          
G034.41+00.23 G034.41+0.23   18:53:18.0319 +01:25:25.500 0.340 0.011  0.120 0.720 -4.180 0.720   60     10 56         
G034.79-01.38 G034.79-1.38   18:59:45.9838 +01:01:18.947 0.381 0.020 -0.310 0.620 -2.800 0.720   45      5 54         
G035.02+00.34 G035.02+0.34   18:54:00.6576 +02:01:19.217 0.430 0.040 -0.920 0.900 -3.610 0.900   52      5 2          
G035.19-00.74 G035.20-0.74   18:58:13.0517 +01:40:35.674 0.456 0.045 -0.180 0.500 -3.630 0.500   30      7 14         
G035.20-01.73 G035.20-1.73   19:01:45.5420 +01:13:32.690 0.412 0.014 -0.680 0.440 -3.600 0.440   43      5 14,54      
G035.79-00.17 G035.79-0.17   18:57:16.8905 +02:27:58.007 0.113 0.013 -2.960 0.120 -6.230 0.140   61      5 55         
G037.42+01.51 G037.43+1.52   18:54:14.3481 +04:41:39.647 0.532 0.021 -0.450 0.350 -3.690 0.390   41      3 2          
G038.11-00.22 G038.11-0.22   19:01:44.1513 +04:30:37.400 0.242 0.035 -2.790 0.270 -5.250 0.310   76      5 56         
G040.28-00.21 G040.28-0.21   19:05:41.2146 +06:26:12.698 0.297 0.019 -1.800 0.310 -3.820 0.330   74      5 56         
G040.42+00.70 G040.42+0.70   19:02:39.6192 +06:59:09.052 0.078 0.013 -2.950 0.090 -5.480 0.100   10      5 56         
G041.15-00.20 G041.15-0.20   19:07:14.3676 +07:13:18.025 0.125 0.018 -2.790 0.140 -5.850 0.160   60      3 55         
G041.22-00.19 G041.22-0.19   19:07:21.3772 +07:17:08.115 0.113 0.022 -2.820 0.130 -5.890 0.160   59      5 55         
G042.03+00.19 G042.03+0.19   19:07:28.1834 +08:10:53.433 0.071 0.012 -2.400 0.090 -5.640 0.110   12      5 56         
G043.03-00.45 G043.03-0.45   19:11:38.9819 +08:46:30.665 0.130 0.019 -3.030 0.150 -6.560 0.200   56      5 55         
G043.16+00.01 W49N           19:10:13.4100 +09:06:12.800 0.090 0.007 -2.880 0.200 -5.410 0.200   10      5 15         
G043.79-00.12 OH43.8-0.1     19:11:53.9868 +09:35:50.325 0.166 0.010 -3.020 0.360 -6.200 0.360   44     10 2          
G043.89-00.78 G043.89-0.78   19:14:26.3906 +09:22:36.568 0.134 0.013 -3.110 0.150 -5.350 0.210   52      3 2,55       
G045.07+00.13 G045.07+0.13   19:13:22.0427 +10:50:53.336 0.129 0.007 -3.210 0.260 -6.110 0.260   59      5 2          
G045.45+00.06 G045.45+0.05   19:14:21.2658 +11:09:15.872 0.119 0.017 -2.340 0.380 -6.000 0.540   55      7 2          
G045.49+00.12 G045.49+0.12   19:14:11.3553 +11:13:06.370 0.144 0.024 -2.620 0.170 -5.610 0.160   58      3 55         
G045.80-00.35 G045.80-0.35   19:16:31.0795 +11:16:11.985 0.137 0.023 -2.520 0.170 -6.080 0.270   64      5 55         
G046.25-01.47 G046.26-1.48   19:21:25.1360 +11:08:41.190 0.121 0.015 -3.040 0.220 -5.840 0.280   28     10 private    
G048.60+00.02 G048.61+0.01   19:20:31.1760 +13:55:25.210 0.093 0.005 -2.890 0.130 -5.500 0.130   18      5 15         
G048.99-00.29 G048.99-0.30   19:22:26.1348 +14:06:39.133 0.178 0.017 -2.200 0.480 -5.840 0.630   67     10 69         
G049.04-01.07 G049.04-1.07   19:25:22.2504 +13:47:19.525 0.164 0.022 -3.230 0.230 -6.420 0.430   38      5 55         
G049.19-00.33 G049.19-0.34   19:22:57.7705 +14:16:09.983 0.197 0.008 -3.080 0.400 -5.500 0.400   67      5 2,69       
G049.26+00.31 G049.26+0.31   19:20:44.8571 +14:38:26.864 0.113 0.016 -2.730 0.150 -5.850 0.190    0      5 51         
G049.34+00.41 G049.34+0.41   19:20:32.4472 +14:45:45.390 0.241 0.031 -2.360 0.260 -5.590 0.330   68      5 55         
G049.48-00.38 W51M           19:23:43.8700 +14:30:29.500 0.185 0.010 -2.640 0.200 -5.110 0.200   58      4 17         
G049.59-00.24 G049.59-0.24   19:23:26.6068 +14:40:16.955 0.218 0.009 -2.250 0.240 -6.120 0.250   63      5 55         
G052.10+01.04 G052.10+1.04   19:23:37.3212 +17:29:10.437 0.165 0.013 -2.770 1.400 -5.850 1.400   42     40 18,55      
G054.10-00.08 G054.10-0.08   19:31:48.7978 +18:42:57.096 0.231 0.031 -3.130 0.580 -5.570 0.610   40      5 70         
G055.37+00.18 IRAS19312      19:33:24.2430 +19:56:55.650 0.263 0.050 -2.610 1.000 -6.730 1.000   36      7 private    
G056.09+02.09 K3-35          19:27:44.0230 +21:30:03.440 0.260 0.040 -3.340 0.100 -5.930 0.070   26      5 private    
G058.77+00.64 G058.77+0.64   19:38:49.1269 +23:08:40.205 0.299 0.040 -2.700 0.340 -6.100 0.380   33      3 70         
G059.47-00.18 G059.47-0.18   19:43:28.3504 +23:20:42.522 0.535 0.024 -1.830 1.220 -6.600 1.210   26      3 70         
G059.78+00.06 G059.78+0.06   19:43:11.2464 +23:44:03.270 0.463 0.020 -1.500 0.530 -5.120 0.510   23      5 16,56      
G059.83+00.67 G059.83+0.67   19:40:59.2938 +24:04:44.177 0.242 0.014 -2.910 0.260 -6.120 0.260   34      3 70         
G060.57-00.18 G060.57-0.18   19:45:52.4949 +24:17:43.237 0.121 0.015 -3.260 0.150 -5.660 0.150    4      5 51         
G069.54-00.97 ON1            20:10:09.0700 +31:31:35.950 0.406 0.013 -3.190 0.400 -5.220 0.400   12      5 19,20,21   
G070.18+01.74 G070.18+1.74   20:00:54.4874 +33:31:28.224 0.156 0.016 -2.820 0.160 -5.170 0.190  -23      5 58         
G071.31+00.82 IRAS20056+3350 20:07:31.2593 +33:59:41.491 0.213 0.028 -2.620 0.700 -5.650 0.600    9      5 49         
G071.52-00.38 G071.52-0.38   20:12:57.8943 +33:30:27.083 0.277 0.026 -2.480 0.290 -4.970 0.300   11      3 70         
G074.03-01.71 G074.04-1.71   20:25:07.1053 +34:49:57.593 0.629 0.017 -3.790 1.300 -4.880 1.500    5      5 21         
G075.29+01.32 G075.30+1.32   20:16:16.0120 +37:35:45.810 0.108 0.010 -2.370 0.110 -4.480 0.170  -58      5 22         
G075.76+00.33 G075.76+0.34   20:21:41.0860 +37:25:29.280 0.285 0.022 -3.080 0.600 -4.560 0.600   -9      9 21         
G075.78+00.34 ON2N           20:21:44.0120 +37:26:37.480 0.261 0.030 -2.790 0.550 -4.660 0.550    1      5 23         
G076.38-00.61 G076.38-0.62   20:27:25.4752 +37:22:48.460 0.770 0.053 -3.730 3.000 -3.840 3.000   -2      5 21         
G078.88+00.70 AFGL2591       20:29:24.8230 +40:11:19.590 0.300 0.024 -1.200 0.720 -4.800 0.660   -6      7 25         
G079.73+00.99 IRAS20290+4052 20:30:50.6730 +41:02:27.540 0.737 0.062 -2.840 0.790 -4.140 1.060   -3      5 25         
G079.87+01.17 G079.88+1.18   20:30:29.1440 +41:15:53.640 0.620 0.027 -3.230 1.300 -5.190 1.300   -5     10 21         
G080.79-01.92 NMLCyg         20:46:25.5400 +40:06:59.400 0.620 0.047 -1.550 0.570 -4.590 0.570   -3      3 26         
G080.86+00.38 DR20           20:37:00.9600 +41:34:55.700 0.687 0.038 -3.290 0.730 -4.830 0.770   -3      5 25         
G081.75+00.59 DR21A          20:39:01.9930 +42:24:59.290 0.666 0.035 -2.840 0.450 -3.800 0.470   -3      3 25         
G081.87+00.78 W75N           20:38:36.4260 +42:37:34.800 0.772 0.042 -1.970 0.500 -4.160 0.510    7      3 25         
G090.21+02.32 G090.21+2.32   21:02:22.7010 +50:03:08.309 1.483 0.038 -0.670 1.560 -0.900 1.670   -3      5 21         
G090.92+01.48 G090.92+1.48   21:09:12.9685 +50:01:03.664 0.171 0.031 -2.960 0.200 -2.610 0.280  -70      5 1          
G092.67+03.07 G092.69+3.08   21:09:21.7320 +52:22:37.080 0.613 0.020 -0.690 1.420 -2.250 1.420   -5     10 21         
G094.60-01.79 AFGL2789       21:39:58.2701 +50:14:20.994 0.221 0.013 -3.490 0.230 -2.650 0.230  -43      3 18,28,58   
G095.29-00.93 G095.29-0.93   21:39:40.5089 +51:20:32.808 0.206 0.015 -2.740 0.300 -2.850 0.370  -38      5 27         
G097.53+03.18 G097.53+3.18   21:32:12.4343 +55:53:49.689 0.133 0.017 -2.940 0.290 -2.480 0.290  -73      5 27         
G100.37-03.57 G100.37-3.57   22:16:10.3651 +52:21:34.113 0.289 0.016 -3.660 0.600 -3.020 0.600  -37     10 28         
G105.41+09.87 G105.42+9.88   21:43:06.4810 +66:06:55.340 1.129 0.063 -0.210 1.200 -5.490 1.200  -10      5 21         
G107.29+05.63 IRAS22198+6336 22:21:26.7280 +63:51:37.920 1.288 0.107 -2.470 1.400  0.260 1.400  -11      5 29         
G108.18+05.51 G108.18+5.51   22:28:51.4117 +64:13:41.201 1.092 0.018  0.260 1.150 -2.260 1.200  -11      3 19         
G108.20+00.58 G108.20+0.58   22:49:31.4775 +59:55:42.006 0.227 0.037 -2.250 0.500 -1.000 0.500  -49     10 28         
G108.42+00.89 IRAS22480+6002 22:49:58.8760 +60:17:56.650 0.400 0.050 -2.580 0.600 -1.910 0.500  -51      5 75         
G108.47-02.81 G108.48-2.80   23:02:32.0800 +56:57:51.400 0.309 0.010 -3.130 0.490 -2.790 0.460  -54      5 28         
G109.87+02.11 G109.87+2.11   22:56:18.0559 +62:01:49.562 1.228 0.024 -1.030 1.300 -2.620 1.330   -7      5 30,70      
G111.25-00.76 G111.25-0.77   23:16:10.3420 +59:55:28.596 0.280 0.015 -2.690 0.280 -1.750 0.330  -40      3 28         
G115.05-00.04 PZCas          23:44:03.2816 +61:47:22.187 0.356 0.040 -3.700 0.780 -2.000 0.810  -36      5 77         
G121.29+00.65 L1287          00:36:47.3530 +63:29:02.160 1.077 0.039 -0.860 1.190 -2.290 1.230  -23      5 19         
G122.01-07.08 IRAS00420+5530 00:44:58.3970 +55:46:47.600 0.460 0.020 -3.700 0.500 -1.250 0.500  -50      5 31         
G123.06-06.30 NGC281         00:52:24.7008 +56:33:50.527 0.355 0.030 -2.790 0.620 -2.140 0.700  -30      5 32         
G123.06-06.30 NGC281W        00:52:24.1960 +56:33:43.180 0.421 0.022 -2.690 0.310 -1.770 0.290  -29      3 32         
G133.94+01.06 W3OH           02:27:03.8190 +61:52:25.230 0.512 0.010 -1.200 0.320 -0.150 0.320  -47      3 33,34      
G134.62-02.19 SPer           02:22:51.7106 +58:35:11.444 0.413 0.017 -0.490 0.500 -1.190 0.480  -39      5 35         
G135.27+02.79 G135.27+2.79   02:43:28.5680 +62:57:08.388 0.167 0.011 -1.220 0.300  0.460 0.360  -72      3 36         
G160.14+03.15 G160.14+3.16   05:01:40.2437 +47:07:19.026 0.244 0.006  0.870 0.350 -1.320 0.290  -18      5 27         
G168.06+00.82 G168.06+0.82   05:17:13.7436 +39:22:19.915 0.187 0.022  0.440 0.290 -0.780 0.350  -25      5 38,27      
G170.65-00.24 IRAS05168+3634 05:20:22.0700 +36:37:56.630 0.532 0.075  0.230 1.200 -3.140 0.600  -19      5 78         
G173.48+02.44 G173.48+2.44   05:39:13.0658 +35:45:51.281 0.594 0.014  0.620 0.630 -2.340 0.630  -13      5 58         
G174.20-00.07 AFGL5142       05:30:48.0173 +33:47:54.568 0.467 0.020  0.320 0.560 -0.220 0.680   -2     10 50         
G176.51+00.20 G176.52+0.20   05:37:52.1353 +32:00:03.928 1.038 0.021  1.840 1.000 -5.860 1.000  -17      5 21         
G183.72-03.66 G183.72-3.66   05:40:24.2276 +23:50:54.728 0.629 0.012  0.380 1.300 -1.320 1.300    3      5 28         
G188.94+00.88 S252           06:08:53.3441 +21:38:29.099 0.476 0.006 -0.320 0.490 -1.940 0.490    8      5 18,40      
G192.16-03.81 G192.16-3.84   05:58:13.5300 +16:31:58.900 0.660 0.040  0.700 0.780 -1.800 0.860    5      5 41         
G192.60-00.04 S255           06:12:54.0100 +17:59:23.200 0.601 0.039 -0.180 0.600 -0.430 0.600    7      5 19,50      
G196.45-01.67 S269           06:14:37.0600 +13:49:36.500 0.242 0.011  0.200 0.270 -0.730 0.270   19      5 42,66,65   
G209.00-19.38 Orion          05:35:15.8000 -05:23:14.100 2.421 0.019  3.130 3.060 -1.100 3.710    3      5 43,44,45,57
G211.59+01.05 G211.60+1.06   06:52:45.3210 +01:40:23.072 0.239 0.010 -0.790 0.620  0.050 0.660   45      5 58         
G213.70-12.59 G213.70-12.6   06:07:47.8584 -06:22:56.586 1.148 0.030 -1.300 1.200  2.200 1.200   11      3 1,72       
G217.79+01.05 V838Mon        07:04:04.8217 -03:50:50.636 0.163 0.016 -0.540 0.230  0.080 0.170   49      5 48         
G229.57+00.15 G229.57+0.15   07:23:01.7718 -14:41:34.339 0.218 0.012 -1.330 0.700  0.770 0.700   47     10 28         
G232.62+00.99 G232.62+1.00   07:32:09.7800 -16:58:12.800 0.596 0.035 -2.170 0.380  2.090 0.600   21      3 40         
G236.81+01.98 G236.81+1.98   07:44:28.2367 -20:08:30.606 0.326 0.026 -2.490 0.430  2.670 0.410   43      5 28         
G239.35-05.06 VYCMa          07:22:58.3260 -25:46:03.060 0.855 0.057 -2.800 0.580  2.600 0.580   20      3 46,47      
G240.31+00.07 G240.31+0.07   07:44:51.9676 -24:07:41.372 0.187 0.014 -1.550 0.500  2.570 0.300   68      5 28,73      
G305.20+00.01 G305.20+0.20   13:11:13.0000 -62:40:00.000 0.250 0.050 -6.900 0.330 -0.520 0.330  -43      5 61         
G339.88-01.25 G339.88-1.25   16:52:04.6776 -46:08:34.404 0.480 0.080 -1.600 0.520 -1.900 0.520  -34      3 37         
G348.70-01.04 G348.70-1.04   17:20:04.0360 -38:58:30.920 0.296 0.026 -0.730 0.310 -2.830 0.590   -9      5 1          
G351.44+00.65 G351.45+0.66   17:20:54.6010 -35:45:08.620 0.752 0.069  0.310 0.580 -2.170 0.900   -8      3 2,76       
G359.61-00.24 G359.61-0.24   17:45:39.0697 -29:23:30.265 0.375 0.021  1.000 0.400 -1.500 0.500   21      5 59,52      
